event_date|repo                                       |total_pushes|total_commits|last_push              |unique_contributors|total_pr_opened|last_pr_opened_number|last_pr_opened_at      |total_pr_closed|last_pr_closed_number|last_pr_closed_at      |
2015-01-28|altitudelabs/imaibo-public                 |          78|          175|2015-01-28 16:34:16.000|                  4|              7|                  245|2015-01-28 16:34:11.000|              8|                  245|2015-01-28 16:34:16.000|
2015-02-05|CocoaPods/Specs                            |          78|           78|2015-02-05 23:34:38.000|                  1|               |                     |                       |              1|                12933|2015-02-05 19:58:03.000|
2015-01-20|code-dot-org/code-dot-org                  |          78|          359|2015-01-20 23:57:43.000|                 13|             27|                 1104|2015-01-20 23:57:37.000|             25|                 1104|2015-01-20 23:57:38.000|
2015-02-06|KorriganK/tkdk                             |          78|           97|2015-02-06 15:07:41.000|                  1|              1|                    3|2015-02-06 06:05:02.000|              1|                    3|2015-02-06 06:05:11.000|
2015-01-21|cms-sw/cmsdist                             |          77|          308|2015-01-21 14:01:44.000|                  3|             15|                 1315|2015-01-21 11:48:58.000|             14|                 1315|2015-01-21 13:07:48.000|
2015-01-13|voidlinux/void-packages                    |          77|          156|2015-01-13 22:46:24.000|                  4|              2|                  849|2015-01-13 23:43:14.000|              2|                  847|2015-01-13 22:46:24.000|
2015-01-13|CocoaPods/Specs                            |          76|           76|2015-01-13 23:26:48.000|                  1|              2|                12907|2015-01-13 18:24:53.000|              1|                12906|2015-01-13 18:13:02.000|
2015-02-14|dwr/imprimaturjs                           |          76|           79|2015-02-14 21:06:46.000|                  1|              1|                    2|2015-02-14 04:57:20.000|              1|                    2|2015-02-14 04:57:47.000|
2015-02-04|cms-sw/cms-sw.github.io                    |          76|           77|2015-02-04 23:39:26.000|                  2|              1|                   19|2015-02-04 10:41:26.000|              1|                   19|2015-02-04 10:42:35.000|
2015-01-22|caskdata/cdap                              |          76|          456|2015-01-22 23:55:37.000|                 13|             16|                 1090|2015-01-22 21:50:40.000|             17|                 1087|2015-01-22 23:09:06.000|
2015-01-31|h1ntme/h1ntme.github.io                    |          76|           80|2015-01-31 23:18:40.000|                  2|              1|                    1|2015-01-31 11:03:35.000|              1|                    1|2015-01-31 11:03:48.000|
2015-02-12|edx/edx-platform                           |          75|          507|2015-02-12 23:59:04.000|                 21|             10|                 6982|2015-02-12 16:59:27.000|              9|                 6966|2015-02-12 23:51:44.000|
2015-01-15|CocoaPods/Specs                            |          75|           75|2015-01-15 23:43:20.000|                  1|              1|                12911|2015-01-15 06:59:41.000|              1|                12911|2015-01-15 17:49:56.000|
2015-01-13|VirtualFlyBrain/VFB                        |          75|          212|2015-01-13 23:58:31.000|                  2|             10|                  346|2015-01-13 23:21:14.000|             10|                  346|2015-01-13 23:21:24.000|
2015-01-06|edx/edx-platform                           |          75|          382|2015-01-06 22:16:24.000|                 31|             13|                 6469|2015-01-06 21:13:56.000|             20|                 6469|2015-01-06 22:16:33.000|
2015-01-07|edx/edx-platform                           |          75|          405|2015-01-07 23:08:35.000|                 30|             20|                 6491|2015-01-07 23:58:43.000|             17|                 6488|2015-01-07 21:25:19.000|
2015-02-11|Wikia/app                                  |          75|          250|2015-02-11 23:11:17.000|                 21|             20|                 6270|2015-02-11 21:57:01.000|             17|                 6269|2015-02-11 22:42:24.000|
2015-02-10|code-dot-org/code-dot-org                  |          75|          331|2015-02-10 23:54:01.000|                 13|             16|                 1270|2015-02-10 23:32:37.000|             15|                 1270|2015-02-10 23:32:49.000|
2015-02-10|cms-sw/cms-sw.github.io                    |          74|           75|2015-02-10 23:39:16.000|                  2|              1|                   22|2015-02-10 09:37:35.000|              1|                   22|2015-02-10 09:37:39.000|
2015-02-10|naveensrinivasan/naveensrinivasan.github.io|          74|           59|2015-02-10 21:01:17.000|                  1|              1|                    1|2015-02-10 01:30:14.000|              1|                    1|2015-02-10 17:01:23.000|
2015-01-23|mantidproject/mantid                       |          74|          200|2015-01-23 22:32:38.000|                 12|              3|                  141|2015-01-23 18:24:28.000|              4|                  141|2015-01-23 19:55:33.000|
2015-01-27|justinstrauss/finalproj                    |          74|          229|2015-01-27 23:31:09.000|                  4|             20|                   65|2015-01-27 23:09:23.000|             21|                   65|2015-01-27 23:09:26.000|
2015-01-31|joelr/federation                           |          74|          170|2015-01-31 23:39:24.000|                  2|             16|                   16|2015-01-31 23:39:15.000|             16|                   16|2015-01-31 23:39:23.000|
2015-01-22|ratajx/Genera-D-ordan                      |          74|           44|2015-01-22 23:55:15.000|                  3|              7|                    7|2015-01-22 20:35:42.000|              7|                    7|2015-01-22 20:36:05.000|
2015-01-20|edx/edx-platform                           |          73|          381|2015-01-20 23:59:17.000|                 30|             13|                 6703|2015-01-20 22:51:31.000|             17|                 6702|2015-01-20 23:59:15.000|
2015-02-09|ministryofjustice/vis-prototype            |          73|           95|2015-02-09 17:28:55.000|                  4|              3|                   15|2015-02-09 16:47:15.000|              3|                   15|2015-02-09 17:09:42.000|
2015-02-02|ngatmaitan/ngatmaitan                      |          73|           99|2015-02-02 08:01:10.000|                  1|              1|                    1|2015-02-02 07:53:57.000|              1|                    1|2015-02-02 07:54:51.000|
2015-01-10|hopperfund/events                          |          73|          113|2015-01-10 06:26:27.000|                  1|             32|                   32|2015-01-10 06:12:27.000|             32|                   32|2015-01-10 06:12:32.000|
2015-01-13|code-dot-org/code-dot-org                  |          73|          340|2015-01-13 23:59:34.000|                 11|             24|                 1019|2015-01-13 23:59:28.000|             28|                 1019|2015-01-13 23:59:32.000|
2015-02-08|maxerdwien/team-game                       |          73|          268|2015-02-08 23:52:38.000|                  3|              1|                    2|2015-02-08 15:38:33.000|              1|                    2|2015-02-08 16:15:58.000|
2015-02-09|findsorguk/findsorguk                      |          72|          118|2015-02-09 22:59:12.000|                  1|             35|                  675|2015-02-09 22:59:08.000|             35|                  675|2015-02-09 22:59:12.000|
2015-01-29|Wikia/app                                  |          72|          225|2015-01-29 23:57:11.000|                 25|             22|                 6116|2015-01-29 23:50:21.000|             23|                 6115|2015-01-29 23:12:58.000|
2015-01-27|jeff1evesque/machine-learning              |          72|          233|2015-01-27 22:12:48.000|                  1|             16|                 1197|2015-01-27 22:12:45.000|             16|                 1197|2015-01-27 22:12:48.000|
2015-01-22|404notfoundunipd/premi-documents           |          72|          132|2015-01-22 23:30:05.000|                  6|              2|                   33|2015-01-22 13:25:24.000|              2|                   33|2015-01-22 13:26:32.000|
2015-02-02|edx/edx-platform                           |          72|          445|2015-02-02 23:16:34.000|                 25|             18|                 6869|2015-02-02 21:43:08.000|             16|                 6868|2015-02-02 21:38:29.000|
