event_date|actor                         |push_count|pr_count|total_commits|last_activity          |
2015-01-18|beibin79                      |       252|       1|          253|2015-01-18 17:46:15.000|
2015-01-12|mAAdhaTTah                    |       251|       1|          251|2015-01-12 05:27:11.000|
2015-01-07|openstack-gerrit              |       250|       1|          392|2015-01-07 23:39:00.000|
2015-01-02|kinlane                       |       247|       1|          248|2015-01-02 18:58:21.000|
2015-01-01|Pomax                         |       245|       1|          248|2015-01-01 23:51:02.000|
2015-01-02|asfgit                        |       242|      12|          429|2015-01-02 23:25:17.000|
2015-01-15|bors                          |       238|       4|          645|2015-01-15 22:43:01.000|
2015-01-12|anne55n                       |       234|     210|          383|2015-01-12 05:15:28.000|
2015-02-14|asfgit                        |       232|      17|          344|2015-02-14 23:52:01.000|
2015-01-07|briandfoy                     |       231|       1|          235|2015-01-07 22:22:05.000|
2015-01-31|asfgit                        |       227|      18|          364|2015-01-31 23:58:10.000|
2015-01-27|autolander                    |       225|     155|          353|2015-01-27 23:26:02.000|
2015-01-21|hubot                         |       223|       2|          593|2015-01-21 23:55:59.000|
2015-01-08|hubot                         |       221|       4|          664|2015-01-08 23:56:14.000|
2015-01-28|autolander                    |       215|     134|          351|2015-01-28 22:11:29.000|
2015-01-20|hubot                         |       215|       4|          693|2015-01-20 23:45:51.000|
2015-01-07|alexcrichton                  |       214|      18|          355|2015-01-07 23:41:45.000|
2015-02-15|asfgit                        |       214|      10|          270|2015-02-15 23:15:12.000|
2015-01-21|nettfunky                     |       210|     112|          219|2015-01-21 10:04:38.000|
2015-01-03|wp-plugins-user               |       210|       3|          264|2015-01-03 23:56:28.000|
2015-02-10|k-okada                       |       210|      33|          700|2015-02-10 19:27:39.000|
2015-01-31|ashumeow                      |       201|       2|          207|2015-01-31 20:52:54.000|
2015-01-12|stevenschmatz                 |       196|       1|          196|2015-01-12 22:42:45.000|
2015-01-12|hubot                         |       195|       2|          587|2015-01-12 23:54:47.000|
2015-01-23|hubot                         |       194|       6|          613|2015-01-23 23:51:09.000|
2015-01-07|hubot                         |       194|       2|          615|2015-01-07 23:46:09.000|
2015-02-05|alexcrichton                  |       194|       7|          213|2015-02-05 23:49:24.000|
2015-01-17|asfgit                        |       192|       8|          234|2015-01-17 23:52:25.000|
2015-01-21|cmsbuild                      |       192|       8|          686|2015-01-21 23:51:01.000|
2015-01-11|asfgit                        |       191|       9|          263|2015-01-11 23:59:14.000|
2015-02-02|k-okada                       |       190|       8|          646|2015-02-02 23:44:01.000|
2015-01-03|alexcrichton                  |       188|      21|          273|2015-01-03 23:53:47.000|
2015-02-04|alexcrichton                  |       186|      17|          273|2015-02-04 23:53:09.000|
2015-01-08|EnoF                          |       186|       5|          216|2015-01-08 19:05:46.000|
2015-01-24|asfgit                        |       186|      10|          255|2015-01-24 23:44:52.000|
2015-01-05|alexcrichton                  |       184|      17|          257|2015-01-05 23:53:06.000|
2015-02-07|pluginmirror-worker           |       183|       1|          230|2015-02-07 23:54:14.000|
2015-01-25|anne55n                       |       181|     169|          277|2015-01-25 22:05:08.000|
2015-01-05|EnoF                          |       181|       1|          184|2015-01-05 17:06:37.000|
2015-02-09|JTrefzger                     |       181|       4|          210|2015-02-09 23:59:12.000|
2015-01-06|alexcrichton                  |       180|      23|          347|2015-01-06 22:16:27.000|
2015-01-05|hubot                         |       179|       2|          561|2015-01-05 23:58:05.000|
2015-01-04|asfgit                        |       177|      11|          341|2015-01-04 23:28:32.000|
2015-01-10|asfgit                        |       176|      19|          281|2015-01-10 23:52:47.000|
2015-01-19|kisttan                       |       175|     177|          355|2015-01-19 10:05:07.000|
2015-01-19|hubot                         |       173|       4|          494|2015-01-19 23:59:43.000|
2015-02-05|dimitrisXri                   |       173|      12|          201|2015-02-05 22:43:34.000|
2015-01-25|asfgit                        |       171|      14|          232|2015-01-25 23:41:32.000|
2015-01-23|timmmmyboy                    |       171|       1|          171|2015-01-23 23:51:34.000|
2015-01-09|alexcrichton                  |       170|      26|          218|2015-01-09 23:58:17.000|
2015-02-08|asfgit                        |       167|      15|          243|2015-02-08 23:34:23.000|
2015-01-22|nettfunky                     |       167|      95|          174|2015-01-22 08:58:03.000|
2015-01-04|alexcrichton                  |       166|       8|          231|2015-01-04 23:41:37.000|
2015-01-28|ljbade                        |       165|       4|          168|2015-01-28 23:49:51.000|
2015-01-16|cmsbuild                      |       164|      31|          649|2015-01-16 23:59:19.000|
2015-02-07|asfgit                        |       163|      12|          232|2015-02-07 23:59:54.000|
2015-01-23|cmsbuild                      |       163|      12|          845|2015-01-23 23:59:34.000|
2015-01-30|rouault                       |       162|       1|          336|2015-01-30 21:37:20.000|
2015-01-30|alexcrichton                  |       162|       6|          209|2015-01-30 23:58:22.000|
2015-01-14|peterpacz1                    |       161|       2|          168|2015-01-14 20:08:16.000|
2015-01-13|cmsbuild                      |       161|      31|          889|2015-01-13 23:31:08.000|
2015-02-12|alexcrichton                  |       161|       7|          169|2015-02-12 23:58:43.000|
2015-02-12|jaredmorgs                    |       158|       4|          152|2015-02-12 23:04:31.000|
2015-01-30|cmsbuild                      |       158|      29|          566|2015-01-30 23:35:20.000|
2015-01-23|alexcrichton                  |       158|      11|          239|2015-01-23 23:44:20.000|
2015-01-12|gnomesysadmins                |       157|       2|          232|2015-01-12 23:56:06.000|
2015-01-24|timmmmyboy                    |       157|       2|          164|2015-01-24 23:56:31.000|
2015-01-28|cmsbuild                      |       157|       4|          467|2015-01-28 23:51:59.000|
2015-01-29|cmsbuild                      |       156|      17|          526|2015-01-29 23:34:37.000|
2015-01-05|timmmmyboy                    |       156|       1|          158|2015-01-05 23:51:15.000|
2015-02-10|xuwei-k                       |       155|       3|          184|2015-02-10 23:51:50.000|
2015-01-07|gnomesysadmins                |       153|       1|          243|2015-01-07 23:58:28.000|
2015-01-09|timmmmyboy                    |       152|       1|          152|2015-01-09 23:51:17.000|
2015-01-25|timmmmyboy                    |       152|       1|          160|2015-01-25 23:51:37.000|
2015-01-29|alexcrichton                  |       152|       9|          201|2015-01-29 23:53:31.000|
2015-01-28|ryansobol                     |       152|       1|          153|2015-01-28 23:40:26.000|
2015-01-12|fusiontestaccount             |       149|       8|         1192|2015-01-12 06:51:45.000|
2015-01-27|gitter-badger                 |       149|     143|          149|2015-01-27 23:37:09.000|
2015-01-28|alexcrichton                  |       149|       9|          174|2015-01-28 23:56:07.000|
2015-01-27|cmsbuild                      |       149|      18|          668|2015-01-27 23:53:31.000|
2015-02-05|cmsbuild                      |       147|      25|          665|2015-02-05 23:33:41.000|
2015-02-12|cmsbuild                      |       145|       7|          554|2015-02-12 23:33:46.000|
2015-02-09|autolander                    |       145|      91|          239|2015-02-09 16:51:11.000|
2015-02-01|HallofFamer                   |       144|       7|          157|2015-02-01 20:53:26.000|
2015-01-04|shiftkey-tester               |       144|      88|          155|2015-01-04 23:53:26.000|
2015-02-03|cmsbuild                      |       142|      36|          868|2015-02-03 23:50:37.000|
2015-01-25|apfohl                        |       142|      13|          181|2015-01-25 20:10:07.000|
2015-02-04|k-okada                       |       141|      10|          431|2015-02-04 15:58:59.000|
2015-01-18|asfgit                        |       139|      17|          273|2015-01-18 23:53:08.000|
2015-02-01|asfgit                        |       138|      12|          215|2015-02-01 23:46:33.000|
2015-01-14|brianchandotcom               |       138|      66|          551|2015-01-14 23:46:57.000|
2015-01-20|cmsbuild                      |       136|      16|          451|2015-01-20 23:41:29.000|
2015-01-06|timmmmyboy                    |       135|       1|          136|2015-01-06 23:51:14.000|
2015-02-04|cmsbuild                      |       135|      15|          526|2015-02-04 23:49:41.000|
2015-02-12|autolander                    |       132|      83|          241|2015-02-12 18:10:07.000|
2015-01-28|sharoonthomas                 |       132|       4|         1949|2015-01-28 15:27:40.000|
2015-02-03|k-okada                       |       132|      14|          452|2015-02-03 23:53:45.000|
2015-01-12|alexcrichton                  |       132|      11|          177|2015-01-12 23:37:59.000|
2015-01-14|Sakura01                      |       131|      11|          143|2015-01-14 21:14:54.000|
2015-01-10|thekid                        |       131|      22|          193|2015-01-10 23:57:31.000|
2015-02-03|alexcrichton                  |       131|       9|          233|2015-02-03 23:37:40.000|
2015-01-07|yichengq                      |       130|       3|          649|2015-01-07 21:41:27.000|
2015-02-02|gnomesysadmins                |       130|       1|          209|2015-02-02 23:07:20.000|
2015-01-21|alexcrichton                  |       128|      10|          193|2015-01-21 22:45:50.000|
2015-01-26|cmsbuild                      |       128|       9|          573|2015-01-26 23:31:20.000|
2015-02-11|cmsbuild                      |       127|      10|          586|2015-02-11 23:51:22.000|
2015-02-06|alexcrichton                  |       126|      10|          158|2015-02-06 23:49:57.000|
2015-01-22|infoburp                      |       125|      16|          213|2015-01-22 18:44:09.000|
2015-01-19|cmsbuild                      |       125|       8|          278|2015-01-19 23:30:59.000|
2015-01-08|alexcrichton                  |       124|      11|          189|2015-01-08 23:24:50.000|
2015-02-06|mcanevet                      |       124|       1|          133|2015-02-06 17:06:16.000|
2015-02-13|cmsbuild                      |       123|       7|          328|2015-02-13 23:50:20.000|
2015-02-12|lmajano                       |       123|       1|          143|2015-02-12 23:05:26.000|
2015-02-06|brianchandotcom               |       122|      47|          429|2015-02-06 23:39:00.000|
2015-01-13|mAAdhaTTah                    |       122|       2|          121|2015-01-13 23:47:57.000|
2015-01-26|meatballhat                   |       119|       2|          134|2015-01-26 22:57:19.000|
2015-01-01|asfgit                        |       119|       6|          162|2015-01-01 23:05:51.000|
2015-02-11|alexcrichton                  |       118|      11|          206|2015-02-11 23:59:01.000|
2015-01-06|gnomesysadmins                |       118|       2|          192|2015-01-06 22:15:47.000|
2015-01-02|alexcrichton                  |       118|      14|          243|2015-01-02 23:50:33.000|
2015-01-02|briandfoy                     |       118|       1|          462|2015-01-02 23:56:04.000|
2015-01-15|lefticus                      |       117|       1|          119|2015-01-15 23:48:28.000|
2015-02-04|xndcn                         |       117|       1|          118|2015-02-04 23:01:31.000|
2015-01-07|EnoF                          |       116|       1|          125|2015-01-07 20:36:57.000|
2015-01-07|stevenschmatz                 |       116|       1|          116|2015-01-07 21:29:27.000|
2015-02-12|gnomesysadmins                |       115|       1|          244|2015-02-12 23:36:18.000|
2015-01-20|alexmwaz                      |       115|       1|          115|2015-01-20 09:43:35.000|
2015-02-09|brownman                      |       115|       1|          115|2015-02-09 17:44:13.000|
2015-01-29|portableant                   |       114|     102|          180|2015-01-29 20:44:52.000|
2015-01-22|gnomesysadmins                |       114|       1|          177|2015-01-22 23:45:31.000|
2015-02-09|cmsbuild                      |       113|       2|          234|2015-02-09 23:31:25.000|
2015-02-11|gitter-badger                 |       113|     111|          113|2015-02-11 23:51:08.000|
2015-01-24|jeff1evesque                  |       113|      94|          492|2015-01-24 23:56:44.000|
2015-02-01|alexcrichton                  |       112|       5|          133|2015-02-01 23:25:07.000|
2015-01-27|indigo423                     |       112|       3|          148|2015-01-27 21:51:47.000|
2015-01-28|tboerger                      |       112|       8|          233|2015-01-28 15:57:03.000|
2015-02-15|Kouhai-Senpai                 |       111|       2|          113|2015-02-15 17:19:48.000|
2015-01-03|asfgit                        |       110|       7|          199|2015-01-03 23:37:20.000|
2015-01-25|briandfoy                     |       110|       1|          117|2015-01-25 21:33:26.000|
2015-01-29|Rob11White12                  |       110|     110|          165|2015-01-29 17:39:33.000|
